PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40644705,Phytochemical Composition and Biological Activities of the Lichen Usnea aciculifera in the Southern Vietnam.,2025 Jul 11,,,N/A
40644657,"Stereotactic Radiosurgery in Patients With Small Cell Lung Cancer and 1-10 Brain Metastases: A Multi-Institutional, Phase II, Prospective Clinical Trial.",2025 Jul 11,,,N/A
40644647,Microbiome Modulation for the Treatment of Solid Neoplasms.,2025 Jul 11,,,N/A
40644608,Risk of total and cause-specific mortality in patients with rheumatoid arthritis-associated interstitial lung disease or bronchiectasis.,2025 Jul 11,,,N/A
40644578,RIT1 Drives Oncogenic Transformation and is an Actionable Target in Lung Adenocarcinoma.,2025 Jul 11,,,N/A
40644541,Transition of cellular senescence to pyroptosis mediates recurrence of small cell lung cancer after chemotherapy.,2025 Jul 11,,,N/A
40644510,Innate lymphoid cells originate from fetal liver-derived tissue-resident progenitors.,2025 Jul 11,,,N/A
40644343,Effects of magnesium concentration on the regulation of nutrition and inflammation in nutritional support for cancer patients.,2025 Jul 11,,,N/A
40644316,"Trimodal Ni(II) Complex of Natural Coumarin: Enhanced Lung Cancer Therapy through Chemo, Photodynamic, and Photothermal Approaches under Red and NIR Light.",2025 Jul 11,,,N/A
40644302,Triglyceride metabolism controls inflammation and microglial phenotypes associated with APOE4.,2025 Jul 10,,,N/A
